IDpg10	IDbsub	BiolProc	MolFun	CellComp
ANY35792.1	BSU28590	GO:0006139 GO:0006259 GO:0006260 GO:0006281 GO:0006725 GO:0006807 GO:0006950 GO:0006974 GO:0008152 GO:0009058 GO:0009059 GO:0009987 GO:0018130 GO:0019438 GO:0033554 GO:0034641 GO:0034654 GO:0043170 GO:0044237 GO:0044238 GO:0044249 GO:0044260 GO:0044271 GO:0046483 GO:0050896 GO:0051716 GO:0071704 GO:0071897 GO:0090304 GO:0090305 GO:1901360 GO:1901362 GO:1901576	GO:0003676 GO:0003677 GO:0003824 GO:0003887 GO:0004518 GO:0004527 GO:0004529 GO:0004536 GO:0005488 GO:0008852 GO:0016740 GO:0016772 GO:0016779 GO:0016787 GO:0016788 GO:0016796 GO:0016895 GO:0034061 GO:0043167 GO:0043169 GO:0046872 GO:0097159 GO:0140097 GO:0140640 GO:1901363	
ANY35793.1	BSU28600	GO:0008152 GO:0009058 GO:0009403 GO:0009404 GO:0009987 GO:0019748 GO:0044237 GO:0044249 GO:0044550		GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
ANY35794.1	BSU28610	GO:0000003 GO:0000910 GO:0000917 GO:0000921 GO:0006996 GO:0007010 GO:0007049 GO:0009987 GO:0016043 GO:0019954 GO:0022402 GO:0022414 GO:0022607 GO:0031106 GO:0032185 GO:0032505 GO:0032506 GO:0043093 GO:0043933 GO:0044085 GO:0051301 GO:0065003 GO:0070925 GO:0071840 GO:0090529 GO:0140694		GO:0005622 GO:0005737 GO:0005829 GO:0005886 GO:0016020 GO:0030428 GO:0032153 GO:0071944 GO:0110165
ANY35795.1	BSU28620	GO:0006139 GO:0006259 GO:0006260 GO:0006281 GO:0006298 GO:0006401 GO:0006725 GO:0006807 GO:0006950 GO:0006974 GO:0008152 GO:0009056 GO:0009057 GO:0009987 GO:0016070 GO:0019439 GO:0033554 GO:0034641 GO:0034655 GO:0043137 GO:0043170 GO:0044237 GO:0044238 GO:0044248 GO:0044260 GO:0044265 GO:0044270 GO:0046483 GO:0046700 GO:0050896 GO:0051716 GO:0071704 GO:0090304 GO:0090305 GO:0090501 GO:0090502 GO:1901360 GO:1901361 GO:1901575	GO:0000287 GO:0003676 GO:0003723 GO:0003824 GO:0004518 GO:0004519 GO:0004521 GO:0004523 GO:0004540 GO:0005488 GO:0016787 GO:0016788 GO:0016891 GO:0016893 GO:0043167 GO:0043169 GO:0046872 GO:0097159 GO:0140098 GO:0140640 GO:1901363	GO:0005622 GO:0005737 GO:0032299 GO:0032991 GO:0110165 GO:0140535
ANY35796.1	BSU28630	GO:0006082 GO:0006139 GO:0006399 GO:0006412 GO:0006418 GO:0006432 GO:0006518 GO:0006520 GO:0006725 GO:0006807 GO:0008152 GO:0009058 GO:0009059 GO:0009987 GO:0010467 GO:0016070 GO:0019538 GO:0019752 GO:0034641 GO:0034645 GO:0034660 GO:0043038 GO:0043039 GO:0043043 GO:0043170 GO:0043436 GO:0043603 GO:0043604 GO:0044237 GO:0044238 GO:0044249 GO:0044260 GO:0044271 GO:0044281 GO:0046483 GO:0071704 GO:0090304 GO:1901360 GO:1901564 GO:1901566 GO:1901576	GO:0000049 GO:0000166 GO:0000287 GO:0003676 GO:0003723 GO:0003824 GO:0004812 GO:0004826 GO:0005488 GO:0005524 GO:0016874 GO:0016875 GO:0017076 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0043169 GO:0046872 GO:0097159 GO:0097367 GO:0140098 GO:0140101 GO:0140640 GO:1901265 GO:1901363	GO:0005622 GO:0005737 GO:0009328 GO:0032991 GO:0110165 GO:1902494
ANY35797.1	BSU28640	GO:0006082 GO:0006139 GO:0006399 GO:0006412 GO:0006418 GO:0006432 GO:0006518 GO:0006520 GO:0006725 GO:0006807 GO:0008152 GO:0009058 GO:0009059 GO:0009987 GO:0010467 GO:0016070 GO:0019538 GO:0019752 GO:0034641 GO:0034645 GO:0034660 GO:0043038 GO:0043039 GO:0043043 GO:0043170 GO:0043436 GO:0043603 GO:0043604 GO:0044237 GO:0044238 GO:0044249 GO:0044260 GO:0044271 GO:0044281 GO:0046483 GO:0071704 GO:0090304 GO:1901360 GO:1901564 GO:1901566 GO:1901576	GO:0000049 GO:0000166 GO:0000287 GO:0003676 GO:0003723 GO:0003824 GO:0004812 GO:0004826 GO:0005488 GO:0005524 GO:0016874 GO:0016875 GO:0017076 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0043169 GO:0046872 GO:0097159 GO:0097367 GO:0140098 GO:0140101 GO:0140640 GO:1901265 GO:1901363	GO:0005622 GO:0005737 GO:0110165
ANY35798.1	BSU12240	GO:0006873 GO:0006875 GO:0006879 GO:0009987 GO:0019725 GO:0030003 GO:0042592 GO:0046916 GO:0048878 GO:0050801 GO:0055065 GO:0055072 GO:0055076 GO:0055080 GO:0055082 GO:0065007 GO:0065008 GO:0098771		GO:0005886 GO:0005887 GO:0016020 GO:0016021 GO:0031224 GO:0031226 GO:0071944 GO:0110165
ANY35799.1	BSU28650	GO:0001510 GO:0006139 GO:0006396 GO:0006725 GO:0006807 GO:0008152 GO:0009451 GO:0009987 GO:0010467 GO:0016070 GO:0032259 GO:0034641 GO:0043170 GO:0043412 GO:0043414 GO:0044237 GO:0044238 GO:0044260 GO:0046483 GO:0071704 GO:0090304 GO:1901360	GO:0003676 GO:0003723 GO:0003824 GO:0005488 GO:0008168 GO:0008173 GO:0016740 GO:0016741 GO:0097159 GO:0140098 GO:0140640 GO:1901363	GO:0005622 GO:0005737 GO:0110165
ANY35800.1	BSU28840			GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
ANY35801.1	BSU28850	GO:0000027 GO:0006412 GO:0006518 GO:0006807 GO:0006996 GO:0008152 GO:0009058 GO:0009059 GO:0009987 GO:0010467 GO:0016043 GO:0019538 GO:0022607 GO:0022613 GO:0022618 GO:0034641 GO:0034645 GO:0042254 GO:0042255 GO:0042273 GO:0043043 GO:0043170 GO:0043603 GO:0043604 GO:0043933 GO:0044085 GO:0044237 GO:0044238 GO:0044249 GO:0044260 GO:0044271 GO:0065003 GO:0070925 GO:0071704 GO:0071826 GO:0071840 GO:0140694 GO:1901564 GO:1901566 GO:1901576	GO:0003676 GO:0003723 GO:0003735 GO:0005198 GO:0005488 GO:0019843 GO:0097159 GO:1901363	GO:0005622 GO:0005737 GO:0005829 GO:0005840 GO:0015934 GO:0022625 GO:0022626 GO:0032991 GO:0043226 GO:0043228 GO:0043229 GO:0043232 GO:0044391 GO:0110165 GO:1990904
ANY35802.1	BSU28860	GO:0006412 GO:0006518 GO:0006807 GO:0008152 GO:0009058 GO:0009059 GO:0009987 GO:0010467 GO:0019538 GO:0034641 GO:0034645 GO:0043043 GO:0043170 GO:0043603 GO:0043604 GO:0044237 GO:0044238 GO:0044249 GO:0044260 GO:0044271 GO:0071704 GO:1901564 GO:1901566 GO:1901576	GO:0003735 GO:0005198	GO:0005622 GO:0005737 GO:0005829 GO:0005840 GO:0015934 GO:0022625 GO:0022626 GO:0032991 GO:0043226 GO:0043228 GO:0043229 GO:0043232 GO:0044391 GO:0110165 GO:1990904
ANY35803.1	BSU28870	GO:0006412 GO:0006413 GO:0006417 GO:0006518 GO:0006807 GO:0006996 GO:0008152 GO:0009058 GO:0009059 GO:0009889 GO:0009987 GO:0010467 GO:0010468 GO:0010556 GO:0010608 GO:0016043 GO:0019222 GO:0019538 GO:0022411 GO:0031323 GO:0031326 GO:0032790 GO:0034248 GO:0034641 GO:0034645 GO:0043043 GO:0043170 GO:0043603 GO:0043604 GO:0044237 GO:0044238 GO:0044249 GO:0044260 GO:0044271 GO:0050789 GO:0050794 GO:0051171 GO:0051246 GO:0060255 GO:0065007 GO:0071704 GO:0071840 GO:0080090 GO:1901564 GO:1901566 GO:1901576 GO:1903008 GO:2000112	GO:0003676 GO:0003743 GO:0005488 GO:0008135 GO:0043021 GO:0043022 GO:0044877 GO:0045182 GO:0090079 GO:0097159 GO:1901363	GO:0005622 GO:0005737 GO:0005829 GO:0110165
ANY35804.1	BSU28890			
ANY36638.1	BSU28900	GO:0008219 GO:0009987 GO:0012501 GO:0019835		GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
ANY35805.1	BSU28910	GO:0008219 GO:0009987 GO:0012501 GO:0019835		GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
ANY35806.1	BSU28920	GO:0000160 GO:0006355 GO:0007154 GO:0007165 GO:0009889 GO:0009891 GO:0009893 GO:0009987 GO:0010468 GO:0010556 GO:0010557 GO:0010604 GO:0019219 GO:0019222 GO:0023052 GO:0031323 GO:0031325 GO:0031326 GO:0031328 GO:0035556 GO:0045893 GO:0045935 GO:0048518 GO:0048522 GO:0050789 GO:0050794 GO:0050896 GO:0051171 GO:0051173 GO:0051252 GO:0051254 GO:0051716 GO:0060255 GO:0065007 GO:0080090 GO:1902680 GO:1903506 GO:1903508 GO:2001141	GO:0000156 GO:0000976 GO:0001067 GO:0001216 GO:0003676 GO:0003677 GO:0003690 GO:0003700 GO:0005488 GO:0043565 GO:0060089 GO:0097159 GO:0140110 GO:1901363 GO:1990837	GO:0005622 GO:0005737 GO:0005829 GO:0032991 GO:0032993 GO:0110165
ANY35807.1	BSU28930	GO:0000160 GO:0006468 GO:0006793 GO:0006796 GO:0006807 GO:0007154 GO:0007165 GO:0008152 GO:0009987 GO:0016043 GO:0016310 GO:0018106 GO:0018193 GO:0018202 GO:0019538 GO:0023052 GO:0035556 GO:0036211 GO:0043170 GO:0043412 GO:0044237 GO:0044238 GO:0045229 GO:0050789 GO:0050794 GO:0050896 GO:0051716 GO:0065007 GO:0071554 GO:0071555 GO:0071704 GO:0071840 GO:1901564	GO:0000155 GO:0000166 GO:0003824 GO:0004672 GO:0004673 GO:0005488 GO:0005524 GO:0016301 GO:0016740 GO:0016772 GO:0016773 GO:0016775 GO:0017076 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0097159 GO:0097367 GO:0140096 GO:0140299 GO:1901265 GO:1901363	GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
ANY35808.1	BSU28940	GO:0006082 GO:0006520 GO:0006563 GO:0006564 GO:0006766 GO:0006767 GO:0006771 GO:0006793 GO:0006796 GO:0006807 GO:0008152 GO:0008652 GO:0009058 GO:0009069 GO:0009070 GO:0009110 GO:0009231 GO:0009987 GO:0016053 GO:0016311 GO:0018130 GO:0019752 GO:0034641 GO:0042364 GO:0042726 GO:0042727 GO:0043436 GO:0044237 GO:0044238 GO:0044249 GO:0044271 GO:0044281 GO:0044283 GO:0046394 GO:0046483 GO:0071704 GO:1901360 GO:1901362 GO:1901564 GO:1901566 GO:1901576 GO:1901605 GO:1901607	GO:0003824 GO:0016787 GO:0016788 GO:0016791 GO:0036424 GO:0042578	
ANY35809.1	BSU28950	GO:0006082 GO:0006139 GO:0006399 GO:0006412 GO:0006418 GO:0006435 GO:0006518 GO:0006520 GO:0006725 GO:0006807 GO:0008152 GO:0009058 GO:0009059 GO:0009987 GO:0010467 GO:0016070 GO:0019538 GO:0019752 GO:0034641 GO:0034645 GO:0034660 GO:0043038 GO:0043039 GO:0043043 GO:0043170 GO:0043436 GO:0043603 GO:0043604 GO:0044237 GO:0044238 GO:0044249 GO:0044260 GO:0044271 GO:0044281 GO:0046483 GO:0071704 GO:0090304 GO:1901360 GO:1901564 GO:1901566 GO:1901576	GO:0000049 GO:0000166 GO:0003676 GO:0003723 GO:0003824 GO:0004812 GO:0004829 GO:0005488 GO:0005524 GO:0016874 GO:0016875 GO:0017076 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0043169 GO:0046872 GO:0097159 GO:0097367 GO:0140098 GO:0140101 GO:0140640 GO:1901265 GO:1901363	GO:0005622 GO:0005737 GO:0005829 GO:0110165
ANY35810.1	BSU28960			
ANY36639.1	BSU28970			GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
ANY35811.1	BSU28980	GO:0006139 GO:0006259 GO:0006260 GO:0006261 GO:0006269 GO:0006271 GO:0006725 GO:0006807 GO:0008152 GO:0009058 GO:0009059 GO:0009987 GO:0016070 GO:0018130 GO:0019438 GO:0022616 GO:0032774 GO:0034641 GO:0034654 GO:0043170 GO:0044237 GO:0044238 GO:0044249 GO:0044260 GO:0044271 GO:0046483 GO:0071704 GO:0090304 GO:1901360 GO:1901362 GO:1901576	GO:0000166 GO:0005488 GO:0005524 GO:0017076 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0097159 GO:0097367 GO:1901265 GO:1901363	GO:0005622 GO:0005657 GO:0005694 GO:0030894 GO:0032991 GO:0032993 GO:0043226 GO:0043228 GO:0043229 GO:0043232 GO:0110165 GO:1990077
ANY35812.1	BSU28990	GO:0006139 GO:0006259 GO:0006260 GO:0006261 GO:0006269 GO:0006725 GO:0006807 GO:0008152 GO:0009058 GO:0009059 GO:0009987 GO:0016070 GO:0018130 GO:0019438 GO:0032774 GO:0034641 GO:0034654 GO:0043170 GO:0044237 GO:0044238 GO:0044249 GO:0044260 GO:0044271 GO:0046483 GO:0071704 GO:0090304 GO:1901360 GO:1901362 GO:1901576	GO:0000166 GO:0003676 GO:0003677 GO:0005488 GO:0005524 GO:0017076 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0097159 GO:0097367 GO:1901265 GO:1901363	GO:0005622 GO:0005657 GO:0005694 GO:0030894 GO:0032991 GO:0032993 GO:0043226 GO:0043228 GO:0043229 GO:0043232 GO:0110165 GO:1990077
ANY35813.1	BSU29000	GO:0006355 GO:0009889 GO:0009890 GO:0009892 GO:0010468 GO:0010556 GO:0010558 GO:0010605 GO:0019219 GO:0019222 GO:0031323 GO:0031324 GO:0031326 GO:0031327 GO:0045892 GO:0045934 GO:0048519 GO:0048523 GO:0050789 GO:0050794 GO:0051171 GO:0051172 GO:0051252 GO:0051253 GO:0060255 GO:0065007 GO:0080090 GO:1902679 GO:1903506 GO:1903507 GO:2001141	GO:0000166 GO:0003676 GO:0003677 GO:0005488 GO:0005524 GO:0008270 GO:0017076 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0043169 GO:0046872 GO:0046914 GO:0097159 GO:0097367 GO:1901265 GO:1901363	
ANY35814.1	BSU29010	GO:0006576 GO:0006595 GO:0006596 GO:0006807 GO:0008152 GO:0008216 GO:0008295 GO:0009058 GO:0009308 GO:0009309 GO:0009987 GO:0034641 GO:0042401 GO:0044106 GO:0044237 GO:0044249 GO:0044271 GO:0071704 GO:1901564 GO:1901566 GO:1901576	GO:0003824 GO:0004014 GO:0016829 GO:0016830 GO:0016831	GO:0005622 GO:0005737 GO:0005829 GO:0110165
ANY35815.1	BSU29020	GO:0005975 GO:0005996 GO:0006006 GO:0006094 GO:0008152 GO:0009058 GO:0016051 GO:0019318 GO:0019319 GO:0044238 GO:0044281 GO:0044283 GO:0046364 GO:0071704 GO:1901576	GO:0000166 GO:0003824 GO:0004365 GO:0005488 GO:0016491 GO:0016620 GO:0016903 GO:0036094 GO:0043891 GO:0047100 GO:0050661 GO:0051287 GO:0097159 GO:1901265 GO:1901363	GO:0005622 GO:0005737 GO:0110165
ANY35816.1	BSU29030		GO:0003676 GO:0003677 GO:0005488 GO:0097159 GO:1901363	
ANY35817.1	BSU29040	GO:0006810 GO:0009987 GO:0051179 GO:0051234 GO:0055085	GO:0005215 GO:0022857	GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
ANY35818.1	BSU29050		GO:0003824 GO:0016491	
ANY35819.1	BSU29060	GO:0006139 GO:0006163 GO:0006164 GO:0006725 GO:0006753 GO:0006793 GO:0006796 GO:0006807 GO:0008152 GO:0009058 GO:0009117 GO:0009150 GO:0009152 GO:0009165 GO:0009259 GO:0009260 GO:0009987 GO:0015936 GO:0015937 GO:0016310 GO:0018130 GO:0019438 GO:0019637 GO:0019693 GO:0033865 GO:0033866 GO:0033875 GO:0034030 GO:0034032 GO:0034033 GO:0034641 GO:0034654 GO:0044237 GO:0044238 GO:0044249 GO:0044271 GO:0044281 GO:0046390 GO:0046483 GO:0055086 GO:0071704 GO:0072521 GO:0072522 GO:0090407 GO:1901135 GO:1901137 GO:1901293 GO:1901360 GO:1901362 GO:1901564 GO:1901566 GO:1901576	GO:0000166 GO:0003824 GO:0004140 GO:0005488 GO:0005524 GO:0016301 GO:0016740 GO:0016772 GO:0016773 GO:0017076 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0097159 GO:0097367 GO:1901265 GO:1901363	GO:0005622 GO:0005737 GO:0110165
BEP06	BSU06730	GO:0000154 GO:0001510 GO:0006139 GO:0006364 GO:0006396 GO:0006725 GO:0006807 GO:0008152 GO:0009451 GO:0009987 GO:0010467 GO:0016070 GO:0016072 GO:0022613 GO:0031167 GO:0032259 GO:0034470 GO:0034641 GO:0034660 GO:0042254 GO:0043170 GO:0043412 GO:0043414 GO:0044085 GO:0044237 GO:0044238 GO:0044260 GO:0046483 GO:0070475 GO:0071704 GO:0071840 GO:0090304 GO:1901360	GO:0003824 GO:0005488 GO:0008168 GO:0008169 GO:0008173 GO:0008649 GO:0008757 GO:0016436 GO:0016740 GO:0016741 GO:0043167 GO:0043169 GO:0046872 GO:0051536 GO:0051539 GO:0051540 GO:0070041 GO:0140098 GO:0140102 GO:0140640	
ANY35820.1	BSU24910		GO:0003824 GO:0016740 GO:0016757	
ANY35821.1	BSU29080	GO:0006139 GO:0006259 GO:0006281 GO:0006284 GO:0006725 GO:0006807 GO:0006950 GO:0006974 GO:0008152 GO:0009987 GO:0033554 GO:0034641 GO:0043170 GO:0044237 GO:0044238 GO:0044260 GO:0046483 GO:0050896 GO:0051716 GO:0071704 GO:0090304 GO:1901360	GO:0000702 GO:0003676 GO:0003677 GO:0003684 GO:0003824 GO:0003906 GO:0005488 GO:0008270 GO:0008534 GO:0016787 GO:0016798 GO:0016799 GO:0016829 GO:0016835 GO:0019104 GO:0034039 GO:0043167 GO:0043169 GO:0046872 GO:0046914 GO:0097159 GO:0140078 GO:0140097 GO:0140640 GO:1901363	
ANY35822.1	BSU29090	GO:0006139 GO:0006259 GO:0006260 GO:0006261 GO:0006281 GO:0006302 GO:0006725 GO:0006807 GO:0006950 GO:0006974 GO:0008152 GO:0009058 GO:0009059 GO:0009987 GO:0018130 GO:0019438 GO:0033554 GO:0034641 GO:0034654 GO:0043170 GO:0044237 GO:0044238 GO:0044249 GO:0044260 GO:0044271 GO:0046483 GO:0050896 GO:0051716 GO:0071704 GO:0071897 GO:0090304 GO:0090305 GO:1901360 GO:1901362 GO:1901576	GO:0003676 GO:0003677 GO:0003824 GO:0003887 GO:0004518 GO:0004527 GO:0005488 GO:0008408 GO:0016740 GO:0016772 GO:0016779 GO:0016787 GO:0016788 GO:0034061 GO:0097159 GO:0140097 GO:0140640 GO:1901363	
ANY35823.1	BSU29100	GO:0000160 GO:0006355 GO:0006468 GO:0006793 GO:0006796 GO:0006807 GO:0006810 GO:0006811 GO:0006817 GO:0006820 GO:0007154 GO:0007165 GO:0008152 GO:0009889 GO:0009987 GO:0010468 GO:0010556 GO:0015698 GO:0016310 GO:0018106 GO:0018193 GO:0018202 GO:0019219 GO:0019222 GO:0019538 GO:0023052 GO:0031323 GO:0031326 GO:0035556 GO:0036211 GO:0043170 GO:0043412 GO:0044237 GO:0044238 GO:0046777 GO:0050789 GO:0050794 GO:0050896 GO:0051171 GO:0051179 GO:0051234 GO:0051252 GO:0051716 GO:0060255 GO:0065007 GO:0071704 GO:0080090 GO:1901564 GO:1903506 GO:2001141	GO:0000155 GO:0000166 GO:0003824 GO:0004672 GO:0004673 GO:0005488 GO:0005524 GO:0009927 GO:0016301 GO:0016740 GO:0016772 GO:0016773 GO:0016775 GO:0017076 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0060089 GO:0097159 GO:0097367 GO:0140096 GO:0140299 GO:1901265 GO:1901363	GO:0005886 GO:0005887 GO:0016020 GO:0016021 GO:0031224 GO:0031226 GO:0045121 GO:0071944 GO:0098857 GO:0110165
ANY35824.1	BSU29110	GO:0000160 GO:0006355 GO:0006810 GO:0006811 GO:0006817 GO:0006820 GO:0007154 GO:0007165 GO:0009889 GO:0009891 GO:0009893 GO:0009987 GO:0010468 GO:0010556 GO:0010557 GO:0010604 GO:0015698 GO:0019219 GO:0019222 GO:0023052 GO:0031323 GO:0031325 GO:0031326 GO:0031328 GO:0035556 GO:0045893 GO:0045935 GO:0048518 GO:0048522 GO:0050789 GO:0050794 GO:0050896 GO:0051171 GO:0051173 GO:0051179 GO:0051234 GO:0051252 GO:0051254 GO:0051716 GO:0060255 GO:0065007 GO:0080090 GO:1902680 GO:1903506 GO:1903508 GO:2001141	GO:0000156 GO:0000976 GO:0001067 GO:0001216 GO:0003676 GO:0003677 GO:0003690 GO:0003700 GO:0005488 GO:0043565 GO:0060089 GO:0097159 GO:0140110 GO:1901363 GO:1990837	GO:0005622 GO:0005737 GO:0005829 GO:0032991 GO:0032993 GO:0110165
ANY35825.1	BSU29120	GO:0006082 GO:0006091 GO:0006099 GO:0008152 GO:0009060 GO:0009987 GO:0015980 GO:0019752 GO:0043436 GO:0044237 GO:0044238 GO:0044281 GO:0045333 GO:0071704	GO:0003824 GO:0016491 GO:0016614 GO:0016615 GO:0016616 GO:0030060	GO:0005622 GO:0005737 GO:0110165
ANY35826.1	BSU29130	GO:0005975 GO:0006081 GO:0006082 GO:0006091 GO:0006097 GO:0006099 GO:0008152 GO:0009060 GO:0009987 GO:0015980 GO:0019752 GO:0032787 GO:0043436 GO:0044237 GO:0044238 GO:0044262 GO:0044281 GO:0045333 GO:0046487 GO:0071704	GO:0000166 GO:0000287 GO:0003824 GO:0004448 GO:0004450 GO:0005488 GO:0016491 GO:0016614 GO:0016616 GO:0036094 GO:0043167 GO:0043169 GO:0046872 GO:0051287 GO:0097159 GO:1901265 GO:1901363	
ANY35827.1	BSU29140	GO:0005975 GO:0006091 GO:0006099 GO:0008152 GO:0009060 GO:0009987 GO:0015980 GO:0044237 GO:0044238 GO:0045333 GO:0071704	GO:0003824 GO:0004108 GO:0016740 GO:0016746 GO:0036440 GO:0046912	GO:0005622 GO:0005737 GO:0110165
ANY36640.1	BSU29150			GO:0005886 GO:0005887 GO:0016020 GO:0016021 GO:0031224 GO:0031226 GO:0071944 GO:0110165
ANY35828.1	BSU29160	GO:0006810 GO:0009987 GO:0051179 GO:0051234 GO:0055085		GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
ANY35829.1	BSU29170			GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
ANY35830.1	BSU29180	GO:0005975 GO:0006082 GO:0006090 GO:0006091 GO:0006096 GO:0006139 GO:0006163 GO:0006165 GO:0006725 GO:0006753 GO:0006757 GO:0006793 GO:0006796 GO:0006807 GO:0008152 GO:0009056 GO:0009117 GO:0009132 GO:0009135 GO:0009141 GO:0009144 GO:0009150 GO:0009179 GO:0009185 GO:0009199 GO:0009205 GO:0009259 GO:0009987 GO:0016052 GO:0016310 GO:0019637 GO:0019693 GO:0019752 GO:0032787 GO:0034641 GO:0043436 GO:0044237 GO:0044238 GO:0044281 GO:0046031 GO:0046034 GO:0046483 GO:0046939 GO:0055086 GO:0071704 GO:0072521 GO:1901135 GO:1901360 GO:1901564 GO:1901575	GO:0000166 GO:0000287 GO:0003824 GO:0004743 GO:0005488 GO:0005524 GO:0016301 GO:0016740 GO:0016772 GO:0016773 GO:0017076 GO:0030554 GO:0030955 GO:0031420 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0043169 GO:0046872 GO:0097159 GO:0097367 GO:1901265 GO:1901363	GO:0005622 GO:0005737 GO:0005829 GO:0110165
ANY35831.1	BSU29190	GO:0005975 GO:0005996 GO:0006002 GO:0006006 GO:0006007 GO:0006082 GO:0006090 GO:0006091 GO:0006096 GO:0006139 GO:0006163 GO:0006165 GO:0006725 GO:0006734 GO:0006735 GO:0006753 GO:0006757 GO:0006793 GO:0006796 GO:0006807 GO:0008152 GO:0009056 GO:0009117 GO:0009132 GO:0009135 GO:0009141 GO:0009144 GO:0009150 GO:0009179 GO:0009185 GO:0009199 GO:0009205 GO:0009259 GO:0009987 GO:0016052 GO:0016310 GO:0019318 GO:0019320 GO:0019637 GO:0019674 GO:0019693 GO:0019752 GO:0030388 GO:0032787 GO:0034641 GO:0043436 GO:0044237 GO:0044238 GO:0044262 GO:0044281 GO:0044282 GO:0046031 GO:0046034 GO:0046365 GO:0046483 GO:0046835 GO:0046939 GO:0055086 GO:0061615 GO:0061620 GO:0061621 GO:0061718 GO:0071704 GO:0072521 GO:1901135 GO:1901360 GO:1901564 GO:1901575	GO:0000166 GO:0003824 GO:0003872 GO:0005488 GO:0005515 GO:0005524 GO:0008443 GO:0016208 GO:0016301 GO:0016740 GO:0016772 GO:0016773 GO:0017076 GO:0019200 GO:0030246 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0042802 GO:0043167 GO:0043168 GO:0043169 GO:0046872 GO:0048029 GO:0070095 GO:0097159 GO:0097367 GO:1901265 GO:1901363	GO:0005622 GO:0005737 GO:0005829 GO:0005945 GO:0032991 GO:0061695 GO:0110165 GO:1902494 GO:1990234
ANY35832.1	BSU29200	GO:0006082 GO:0006139 GO:0006163 GO:0006164 GO:0006629 GO:0006631 GO:0006633 GO:0006637 GO:0006725 GO:0006753 GO:0006790 GO:0006793 GO:0006796 GO:0006807 GO:0008152 GO:0008610 GO:0009058 GO:0009117 GO:0009150 GO:0009152 GO:0009165 GO:0009259 GO:0009260 GO:0009987 GO:0016053 GO:0018130 GO:0019438 GO:0019637 GO:0019693 GO:0019752 GO:0032787 GO:0033865 GO:0033866 GO:0033875 GO:0034030 GO:0034032 GO:0034033 GO:0034641 GO:0034654 GO:0035383 GO:0035384 GO:0042221 GO:0043436 GO:0043603 GO:0043604 GO:0044237 GO:0044238 GO:0044249 GO:0044255 GO:0044271 GO:0044272 GO:0044281 GO:0044283 GO:0046390 GO:0046394 GO:0046483 GO:0046677 GO:0050896 GO:0055086 GO:0071616 GO:0071704 GO:0072330 GO:0072521 GO:0072522 GO:0090407 GO:1901135 GO:1901137 GO:1901293 GO:1901360 GO:1901362 GO:1901564 GO:1901566 GO:1901576 GO:2001293 GO:2001295	GO:0000166 GO:0003824 GO:0003989 GO:0005488 GO:0005524 GO:0016421 GO:0016740 GO:0016741 GO:0016743 GO:0016874 GO:0016885 GO:0017076 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0097159 GO:0097367 GO:1901265 GO:1901363	GO:0005622 GO:0005737 GO:0009317 GO:0032991 GO:0110165 GO:1902494
